Position Title
"(1) Engineer II
(Coterminous with the Build, Build, Build Program)"
(2) Revenue Collection Clerk II
(Administrative Assistant)                                                         Administrative Assistant II
(Administrative Officer IV)                                                                          Supervising Administrative Officer
(Bookbinder II)                                                                         Administrative Aide IV
(Bookbinder III)                                                                         Administrative Assistant I
(Bookbinder IV)                                                                         Administrative Assistant IV
(Budget Officer IV)                                                  Supervising Administrative Officer
(Computer Operator IV)                                                  Senior Administrative Assistant II
(Data Controller IV)                                                    Senior Administrative Assistant I
(Human Resource Management Officer II)                                              Administrative Officer IV
(Human Resource Management Officer III)                                              Administrative Officer V
(Messenger)                                                                            Administrative Aide II
(Motor Pool Dispatcher)                                           Administrative Aide VI
(Storekeeper I)                                                                      Administrative Aide IV
(Utility Worker I)                                                              Administrative Aide I
* * * Nothing Follows * * *
* CITY GOVERNMENT DEPARTMENT HEAD I (CITY HEALTH OFFICER)
3-02-005-51
ACCOUNT OFFICER
ACCOUNT OFFICER ASSISTANT
ACCOUNTANT I
ACCOUNTANT II
ACCOUNTANT III
ACCOUNTANT IV
ACCOUNTANT V
ACCOUNTING SPECIALIST
ACCOUNTS ANALYST
ACCOUNTS ANALYST I
ACCOUNTS MANAGEMENT ANALYST I
ACCOUNTS MANAGEMENT ANALYST II
ACCOUNTS MANAGEMENT SPECIALIST
ADMINISTRAIVE OFFICER IV
ADMINISTRATIVE                                                                                     ASSISTANT II                                                                                          (Disbursing Officer II)
ADMINISTRATIVE                                                              AIDE IV                                                                          (Mechanic I)
ADMINISTRATIVE                                                              AIDE IV                                                                         (Mechanic I)
ADMINISTRATIVE                                                              AIDE VI                                                                          (Mechanic II)
ADMINISTRATIVE  AIDE IV
ADMINISTRATIVE  AIDE IV (CLERK ll)
ADMINISTRATIVE AIDE  IV  (Driver II)
ADMINISTRATIVE AIDE (Utility Worker I)
ADMINISTRATIVE AIDE 1 (UTILITY WORKER 1)
ADMINISTRATIVE AIDE I
"ADMINISTRATIVE AIDE I 
(Utility Worker I)"
ADMINISTRATIVE AIDE I                       (UTILITY WORKER I)
ADMINISTRATIVE AIDE I                  (UTILITY WORKER I)
ADMINISTRATIVE AIDE I          ( UTILITY WORKER I)
ADMINISTRATIVE AIDE I       (Utility Worker I)
ADMINISTRATIVE AIDE I (LABORER I)
